Encoded,mRd,vRd,mRd_plus,mRd_minus,vRd_plus,vRd_minus,C,Length,product_name,Thickness,Type,M-type,V-type,REI-type,CV-type,X-type,Height,Type Number
XT-K-M10.1-V1-REI120-CV35-X120-H230-6.2,"-93,5","112,8",0.0,93.5,112.8,0.0,C30/37,L1000,XT-K-M10.1-V1-REI120-CV35-X120-H230-L1000-6.2,XT,K,M10.1,V1,REI120,CV35,X120,H230,6.2
XT-K-M10.1-V2-REI120-CV35-X120-H230-6.2,"-93,5","125,4",0.0,93.5,125.4,0.0,C30/37,L1000,XT-K-M10.1-V2-REI120-CV35-X120-H230-L1000-6.2,XT,K,M10.1,V2,REI120,CV35,X120,H230,6.2
XT-K-M7-V1-REI120-CV50-X120-H250-6.2,"-66,4","75,2",0.0,66.4,75.2,0.0,C25/30,L1000,XT-K-M7-V1-REI120-CV50-X120-H250-L1000-6.2,XT,K,M7,V1,REI120,CV50,X120,H250,6.2
XT-K-M7-V2-REI120-CV50-X120-H250-6.2,"-66,4","100,3",0.0,66.4,100.3,0.0,C25/30,L1000,XT-K-M7-V2-REI120-CV50-X120-H250-L1000-6.2,XT,K,M7,V2,REI120,CV50,X120,H250,6.2
XT-K-M7-VV1-REI120-CV50-X120-H250-6.2,"-66,4","75,2",0.0,66.4,75.2,0.0,C25/30,L1000,XT-K-M7-VV1-REI120-CV50-X120-H250-L1000-6.2,XT,K,M7,VV1,REI120,CV50,X120,H250,6.2
XT-K-M7-VV1-REI120-CV50-X120-H250-6.2,"-66,4","-50,1",0.0,66.4,0.0,50.1,C25/30,L1000,XT-K-M7-VV1-REI120-CV50-X120-H250-L1000-6.2,XT,K,M7,VV1,REI120,CV50,X120,H250,6.2
XT-K-M8-V1-REI120-CV50-X120-H250-6.2,"-72,4","87,8",0.0,72.4,87.8,0.0,C25/30,L1000,XT-K-M8-V1-REI120-CV50-X120-H250-L1000-6.2,XT,K,M8,V1,REI120,CV50,X120,H250,6.2
XT-K-M8-V2-REI120-CV50-X120-H250-6.2,"-72,4","112,8",0.0,72.4,112.8,0.0,C25/30,L1000,XT-K-M8-V2-REI120-CV50-X120-H250-L1000-6.2,XT,K,M8,V2,REI120,CV50,X120,H250,6.2
XT-K-M8-VV1-REI120-CV50-X120-H250-6.2,"-72,4","87,8",0.0,72.4,87.8,0.0,C25/30,L1000,XT-K-M8-VV1-REI120-CV50-X120-H250-L1000-6.2,XT,K,M8,VV1,REI120,CV50,X120,H250,6.2
XT-K-M8-VV1-REI120-CV50-X120-H250-6.2,"-72,4","-50,1",0.0,72.4,0.0,50.1,C25/30,L1000,XT-K-M8-VV1-REI120-CV50-X120-H250-L1000-6.2,XT,K,M8,VV1,REI120,CV50,X120,H250,6.2
XT-K-M9-V1-REI120-CV50-X120-H250-6.2,"-89,3","112,8",0.0,89.3,112.8,0.0,C25/30,L1000,XT-K-M9-V1-REI120-CV50-X120-H250-L1000-6.2,XT,K,M9,V1,REI120,CV50,X120,H250,6.2
XT-K-M9-V2-REI120-CV50-X120-H250-6.2,"-89,3","125,4",0.0,89.3,125.4,0.0,C25/30,L1000,XT-K-M9-V2-REI120-CV50-X120-H250-L1000-6.2,XT,K,M9,V2,REI120,CV50,X120,H250,6.2
XT-K-M10-V1-REI120-CV50-X120-H250-6.2,"-89,3","112,8",0.0,89.3,112.8,0.0,C25/30,L1000,XT-K-M10-V1-REI120-CV50-X120-H250-L1000-6.2,XT,K,M10,V1,REI120,CV50,X120,H250,6.2
XT-K-M10-V2-REI120-CV50-X120-H250-6.2,"-89,3","125,4",0.0,89.3,125.4,0.0,C25/30,L1000,XT-K-M10-V2-REI120-CV50-X120-H250-L1000-6.2,XT,K,M10,V2,REI120,CV50,X120,H250,6.2
XT-K-M10.1-V1-REI120-CV50-X120-H250-6.2,"-96,6","112,8",0.0,96.6,112.8,0.0,C30/37,L1000,XT-K-M10.1-V1-REI120-CV50-X120-H250-L1000-6.2,XT,K,M10.1,V1,REI120,CV50,X120,H250,6.2
XT-K-M10.1-V2-REI120-CV50-X120-H250-6.2,"-96,6","125,4",0.0,96.6,125.4,0.0,C30/37,L1000,XT-K-M10.1-V2-REI120-CV50-X120-H250-L1000-6.2,XT,K,M10.1,V2,REI120,CV50,X120,H250,6.2
XT-K-M7-V1-REI120-CV35-X120-H240-6.2,"-68,5","75,2",0.0,68.5,75.2,0.0,C25/30,L1000,XT-K-M7-V1-REI120-CV35-X120-H240-L1000-6.2,XT,K,M7,V1,REI120,CV35,X120,H240,6.2
XT-K-M7-V2-REI120-CV35-X120-H240-6.2,"-68,5","100,3",0.0,68.5,100.3,0.0,C25/30,L1000,XT-K-M7-V2-REI120-CV35-X120-H240-L1000-6.2,XT,K,M7,V2,REI120,CV35,X120,H240,6.2
XT-K-M7-VV1-REI120-CV35-X120-H240-6.2,"-68,5","75,2",0.0,68.5,75.2,0.0,C25/30,L1000,XT-K-M7-VV1-REI120-CV35-X120-H240-L1000-6.2,XT,K,M7,VV1,REI120,CV35,X120,H240,6.2
XT-K-M7-VV1-REI120-CV35-X120-H240-6.2,"-68,5","-50,1",0.0,68.5,0.0,50.1,C25/30,L1000,XT-K-M7-VV1-REI120-CV35-X120-H240-L1000-6.2,XT,K,M7,VV1,REI120,CV35,X120,H240,6.2
XT-K-M8-V1-REI120-CV35-X120-H240-6.2,"-74,7","87,8",0.0,74.7,87.8,0.0,C25/30,L1000,XT-K-M8-V1-REI120-CV35-X120-H240-L1000-6.2,XT,K,M8,V1,REI120,CV35,X120,H240,6.2
XT-K-M8-V2-REI120-CV35-X120-H240-6.2,"-74,7","112,8",0.0,74.7,112.8,0.0,C25/30,L1000,XT-K-M8-V2-REI120-CV35-X120-H240-L1000-6.2,XT,K,M8,V2,REI120,CV35,X120,H240,6.2
